estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
pencomp_trueOutcomePred_bagging	2.00024133559981	0.000241335599813403	0.0643339374810722	0.0964765435777953	0.0642700244567139	0.998	0.378188050824958	500	2
pencomp_trueOutcomePred_rubin	1.99986352543372	-0.000136474566282222	0.0642465113263273	0.0649610072172886	0.0641823777564834	0.954	0.254727774670243	500	2
pencomp_trueConf_bagging	2.00023082581574	0.000230825815743547	0.0643733716216217	0.0964591474851524	0.0643093802842537	1	0.378119858141798	500	2
pencomp_trueConf_rubin	1.99985730112913	-0.000142698870869842	0.0642879523668568	0.0649383408504626	0.0642237907698694	0.952	0.254638795708698	500	2
pencomp_truePropen_bagging	2.00226122219389	0.00226122219388945	0.0800261159606606	0.12113175037368	0.0799780220003454	0.992	0.474836461464825	500	2
pencomp_truePropen_rubin	2.0018789470004	0.00187894700039738	0.0798771285023454	0.0852491937696547	0.0798193296657829	0.966	0.334380595938152	500	2
pencomp_allPot_bagging	2.00121893032704	0.00121893032703541	0.0813461897312101	0.121457961838099	0.0812739439781326	0.99	0.476115210405349	500	2
pencomp_allPot_rubin	2.00082542992508	0.000825429925080217	0.0806658683977338	0.0867052348985884	0.0805893894645753	0.956	0.340097437884805	500	2
pencomp_lassoOutcome_bagging	2.00116660200316	0.001166602003162	0.067737789086804	0.107303575975471	0.0676800725063248	0.998	0.420630017823845	500	2
pencomp_lassoOutcome_rubin	2.00016678835334	0.000166788353342897	0.0675471533620242	0.0758023735936616	0.0674797785252219	0.966	0.297292533743916	500	2
pencomp_lassoSep_bagging	2.00179650924605	0.0017965092460454	0.0810101194274926	0.121321083889354	0.0809490062707902	0.99	0.475578648846266	500	2
pencomp_lassoSep_rubin	2.00076620052061	0.000766200520613841	0.0804256196713519	0.0865598214694356	0.0803488070985481	0.956	0.33952652029136	500	2
pencomp_lassoStepwiseT_bagging	1.99944622147776	-0.00055377852223982	0.0641871750498995	0.0970679982980528	0.0641253469749393	0.998	0.380506553328367	500	2
pencomp_lassoStepwiseT_rubin	1.99980016630677	-0.000199833693232876	0.0641552334914196	0.0657345888878276	0.0640913576847522	0.964	0.25776477759297	500	2
pencomp_lassoStepwiseY_bagging	1.99944155099137	-0.000558449008630421	0.0641783158664509	0.0970396457150224	0.0641165374945831	0.998	0.380395411202888	500	2
pencomp_lassoStepwiseY_rubin	1.99979462128881	-0.000205378711187232	0.0641464931105036	0.0657053037404557	0.0640826436223892	0.964	0.257649799644944	500	2
pencomp_stepwise_bagging	2.00147157919738	0.00147157919737714	0.0807306527436506	0.121212485368257	0.08066330616312	0.992	0.475152942643568	500	2
pencomp_stepwise_rubin	2.00108526386126	0.00108526386125885	0.0803707478351584	0.0865550832245031	0.0802976711431659	0.96	0.339508167157929	500	2
pencomp_allLasso_bagging	2.0003882503688	0.000388250368803697	0.067718446021859	0.107401277433464	0.0676518077666892	0.998	0.42101300753918	500	2
pencomp_allLasso_rubin	2.0007486979205	0.000748697920498338	0.0675709452145102	0.0760545174826443	0.0675074923285122	0.968	0.298282371394784	500	2
aiptw_trueOutcomePred_standard	1.999880700394	-0.000119299606001663	0.0640845281185427	0.064711323013393	0.0640205226711242	0.958	0.2536683862125	500	2
aiptw_trueOutcomePred_bagging	1.99999591033196	-4.0896680362441e-06	0.0641551060067842	0.0911878882843633	0.0640909189215884	0.998	0.357456522074704	500	2
aiptw_trueConf_standard	1.99997106668766	-2.89333123441007e-05	0.0641170055295275	0.0646922062491707	0.0640528629681287	0.956	0.253593448496749	500	2
aiptw_trueConf_bagging	2.00008564948497	8.5649484970459e-05	0.0641840278794524	0.0911644131277524	0.0641198689315172	0.996	0.357364499460789	500	2
aiptw_truePropen_standard	2.00215665774452	0.00215665774451794	0.0894061236134415	0.0881230902659242	0.0893427064864828	0.964	0.345442513842423	500	2
aiptw_truePropen_bagging	2.00200890022115	0.00200890022115059	0.0875523749050193	0.123182793727746	0.0874878459839113	0.988	0.482876551412765	500	2
aiptw_allPot_standard	2.00092658151297	0.000926581512971529	0.0932752040360946	0.0922967532302099	0.0931864889020899	0.962	0.361803272662423	500	2
aiptw_allPot_bagging	2.00069981801181	0.000699818011808877	0.0922207029842264	0.126737807930698	0.0921310940347326	0.988	0.496812207088335	500	2
aiptw_lassoOutcome_standard	2.00127367586092	0.00127367586091613	0.0670100978111461	0.0765625067920993	0.0669551697215438	0.978	0.300125026625029	500	2
aiptw_lassoOutcome_bagging	2.00061920905611	0.000619209056106673	0.0675214208959969	0.103368027978085	0.0674567077102782	0.996	0.405202669674091	500	2
aiptw_lassoSep_standard	2.00175725671294	0.00175725671294259	0.0923268512935489	0.0908073259516281	0.0922512163930466	0.958	0.355964717730382	500	2
aiptw_lassoSep_bagging	2.00081806720962	0.000818067209622219	0.0903733072532932	0.124652410438954	0.0902865949547871	0.988	0.488637448920698	500	2
aiptw_lassoStepwiseT_standard	1.999880700394	-0.000119299606001663	0.0640845281185427	0.0654545650685554	0.0640205226711242	0.96	0.256581895068737	500	2
aiptw_lassoStepwiseT_bagging	1.99958269434948	-0.00041730565052342	0.0640534082503701	0.0917457837952693	0.0639906834959399	0.996	0.359643472477456	500	2
aiptw_lassoStepwiseY_standard	1.999880700394	-0.000119299606001663	0.0640845281185427	0.0654285434050034	0.0640205226711242	0.96	0.256479890147613	500	2
aiptw_lassoStepwiseY_bagging	1.99957693383378	-0.0004230661662215	0.064048704233086	0.0917158618088206	0.0639860221133527	0.996	0.359526178290577	500	2
aiptw_stepwise_standard	2.00147226585217	0.00147226585216856	0.091638467301329	0.0917935600178	0.0915586207776063	0.956	0.359830755269776	500	2
aiptw_stepwise_bagging	2.00123686964172	0.0012368696417159	0.0900795867674887	0.125477063423692	0.0899979618369645	0.988	0.491870088620872	500	2
aiptw_allLasso_standard	2.00127367586092	0.00127367586091613	0.0670100978111461	0.0765679886930807	0.0669551697215438	0.978	0.300146515676877	500	2
aiptw_allLasso_bagging	2.00061066411575	0.000610664115746062	0.0675207979184653	0.103376443993758	0.0674560074856598	0.996	0.405235660455532	500	2
iptw_trueOutcomePred_standard	2.00063921718065	0.000639217180648144	0.0647331135559481	0.0652916667861303	0.0646715071516816	0.952	0.255943333801631	500	2
iptw_trueOutcomePred_bagging	2.0008496590574	0.000849659057398936	0.0647936170106289	0.0919377608965962	0.0647343672265608	0.994	0.360396022714657	500	2
iptw_trueConf_standard	2.00045916824127	0.000459168241268978	0.0839063437794825	0.0848399891834907	0.0838236530632112	0.94	0.332572757599283	500	2
iptw_trueConf_bagging	2.00065037859288	0.000650378592875935	0.0840192147158181	0.119505517036797	0.0839376731682139	0.994	0.468461626784245	500	2
iptw_truePropen_standard	2.00506804920378	0.00506804920377534	0.124301495111713	0.123086141537091	0.124280509680179	0.952	0.482497674825396	500	2
iptw_truePropen_bagging	2.00674676642641	0.00674676642640588	0.122252855285977	0.171745801826041	0.122316752579258	0.996	0.673243543158081	500	2
iptw_allPot_standard	2.0042421841182	0.00424218411820354	0.111737527019386	0.114854964435675	0.111706313700757	0.946	0.450231460587846	500	2
iptw_allPot_bagging	2.00411828637715	0.00411828637714666	0.110744283858071	0.155675105976888	0.110710108378173	0.99	0.610246415429403	500	2
iptw_lassoOutcome_standard	2.00198431379985	0.00198431379985465	0.0689055627171463	0.0817538544456791	0.0688652170654834	0.982	0.320475109427062	500	2
iptw_lassoOutcome_bagging	2.00310374374187	0.00310374374186947	0.0681098158309623	0.108288990517292	0.0681124242977574	0.996	0.424492842827783	500	2
iptw_lassoSep_standard	2.00683321176059	0.00683321176059225	0.115313646739619	0.115639025120917	0.115400760106275	0.954	0.453304978473993	500	2
iptw_lassoSep_bagging	2.00786740279515	0.00786740279514954	0.10748817755866	0.154403407114037	0.107668458357095	0.994	0.605261355887026	500	2
iptw_lassoStepwiseT_standard	2.00063921718065	0.000639217180648144	0.0647331135559481	0.0658160196795289	0.0646715071516816	0.956	0.257998797143753	500	2
iptw_lassoStepwiseT_bagging	2.00062350495669	0.000623504956689862	0.0646895747232632	0.0923192793384084	0.0646278605104016	0.994	0.361891575006561	500	2
iptw_lassoStepwiseY_standard	2.00063921718065	0.000639217180648144	0.0647331135559481	0.0658120521767382	0.0646715071516816	0.956	0.257983244532814	500	2
iptw_lassoStepwiseY_bagging	2.00059629551281	0.000596295512811921	0.0646812310464472	0.0923166016969253	0.064619268757261	0.994	0.361881078651947	500	2
iptw_stepwise_standard	2.00426539130533	0.00426539130533192	0.11691418647495	0.119691710130498	0.11687507308271	0.958	0.469191503711552	500	2
iptw_stepwise_bagging	2.00467902804881	0.00467902804880568	0.109373535885584	0.15905563023604	0.109364246968067	0.994	0.623498070525275	500	2
iptw_allLasso_standard	2.00198431379985	0.00198431379985465	0.0689055627171463	0.0817586787598232	0.0688652170654834	0.982	0.320494020738507	500	2
iptw_allLasso_bagging	2.00309452045486	0.0030945204548606	0.0681153470785907	0.108296008888616	0.0681175246428344	0.996	0.424520354843375	500	2
