Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.539	0.576	0.195	0.182	0.104	0.28	0.357	0.408	0.183	0.282	0.735	0.087	0.825	0.183	0.143	0.267
1	1	1	1	0.261	0.391	0.339	0.156	0.388	0.32	0.145	0.186	0.178	0.313	0.219	0.2	0.543	0.166	0.23	0.202
1	1	1	1	0.287	0.523	0.401	0.329	0.366	0.164	0.187	0.286	0.146	0.177	0.676	0.135	0.217	0.132	0.161	0.172
1	1	1	1	0.195	0.442	0.741	0.139	0.124	0.349	0.147	0.11	0.106	0.513	0.148	0.131	0.154	0.098	0.112	0.154
1	1	1	1	0.157	0.454	0.317	0.128	0.154	0.144	0.14	0.122	0.143	0.205	0.529	0.16	0.583	0.2	0.104	0.802
1	1	1	1	0.689	0.239	0.195	0.168	0.634	0.415	0.145	0.253	0.323	0.15	0.161	0.155	0.398	0.183	0.118	0.439
1	1	1	1	0.402	0.176	0.504	0.435	0.567	0.433	0.226	0.156	0.163	0.737	0.21	0.523	0.127	0.669	0.178	0.126
1	1	1	1	0.228	0.196	0.189	0.178	0.569	0.888	0.315	0.122	0.265	0.302	0.707	0.15	0.185	0.148	0.382	0.165
1	1	1	1	0.206	0.743	0.123	0.23	0.189	0.175	0.627	0.438	0.588	0.278	0.16	0.134	0.086	0.139	0.121	0.221
1	0.999	1	1	0.194	0.217	0.17	0.359	0.197	0.248	0.2	0.205	0.159	0.162	0.492	0.187	0.297	0.337	0.231	0.171
1	1	1	1	0.195	0.445	0.267	0.431	0.267	0.33	0.166	0.15	0.314	0.806	0.14	0.135	0.113	0.141	0.117	0.126
1	1	1	1	0.201	0.279	0.39	0.407	0.39	0.554	0.189	0.177	0.198	0.647	0.121	0.354	0.373	0.161	0.165	0.292
1	1	1	1	0.261	0.174	0.328	0.152	0.305	0.419	0.547	0.137	0.104	0.397	0.489	0.608	0.134	0.08	0.169	0.138
1	1	1	1	0.557	0.215	0.185	0.265	0.2	0.204	0.238	0.174	0.114	0.15	0.234	0.183	0.145	0.295	0.305	0.147
1	1	1	1	0.248	0.314	0.109	0.144	0.104	0.264	0.116	0.077	0.143	0.368	0.336	0.153	0.144	0.189	0.397	0.234
1	1	0.998	1	0.284	0.555	0.19	0.157	0.17	0.219	0.207	0.108	0.097	0.441	0.41	0.12	0.172	0.178	0.352	0.419
1	1	1	1	0.311	0.264	0.391	0.256	0.129	0.527	0.274	0.622	0.161	0.166	0.181	0.408	0.338	0.186	0.44	0.203
1	1	1	1	0.228	0.431	0.124	0.156	0.144	0.527	0.08	0.247	0.13	0.268	0.327	0.65	0.107	0.18	0.263	0.319
1	1	1	1	0.44	0.285	0.436	0.136	0.193	0.145	0.26	0.262	0.143	0.261	0.161	0.131	0.172	0.115	0.666	0.407
1	1	1	1	0.285	0.34	0.173	0.728	0.229	0.146	0.2	0.185	0.228	0.599	0.143	0.207	0.179	0.415	0.157	0.163
1	1	1	1	0.191	0.16	0.104	0.188	0.083	0.676	0.238	0.141	0.401	0.084	0.264	0.597	0.473	0.174	0.226	0.344
0.998	1	1	1	0.41	0.437	0.118	0.111	0.135	0.183	0.214	0.164	0.41	0.201	0.236	0.104	0.637	0.552	0.421	0.297
1	1	1	1	0.511	0.387	0.401	0.137	0.254	0.432	0.204	0.55	0.144	0.22	0.435	0.22	0.198	0.225	0.16	0.391
1	1	1	1	0.204	0.247	0.108	0.64	0.097	0.367	0.308	0.095	0.106	0.102	0.512	0.093	0.324	0.095	0.321	0.159
1	1	1	1	0.672	0.258	0.146	0.142	0.486	0.253	0.166	0.187	0.128	0.142	0.288	0.847	0.323	0.187	0.127	0.167
1	1	1	1	0.336	0.185	0.198	0.122	0.197	0.375	0.116	0.349	0.603	0.71	0.196	0.806	0.172	0.208	0.192	0.326
1	1	1	1	0.517	0.335	0.5	0.48	0.747	0.166	0.39	0.165	0.214	0.179	0.235	0.14	0.206	0.292	0.348	0.186
1	1	1	1	0.532	0.278	0.493	0.645	0.164	0.356	0.303	0.214	0.169	0.18	0.507	0.185	0.242	0.636	0.285	0.299
1	1	1	1	0.232	0.28	0.191	0.164	0.36	0.338	0.41	0.247	0.205	0.186	0.623	0.14	0.464	0.26	0.316	0.219
1	1	1	1	0.543	0.207	0.14	0.164	0.143	0.302	0.106	0.286	0.303	0.45	0.16	0.144	0.187	0.61	0.185	0.196
1	1	1	1	0.426	0.463	0.137	0.222	0.323	0.228	0.373	0.235	0.158	0.132	0.268	0.181	0.355	0.187	0.205	0.24
1	1	1	1	0.371	0.159	0.165	0.5	0.467	0.912	0.2	0.314	0.189	0.313	0.135	0.223	0.371	0.337	0.122	0.19
1	1	1	1	0.288	0.212	0.107	0.113	0.356	0.217	0.178	0.258	0.17	0.146	0.215	0.201	0.258	0.638	0.189	0.161
1	1	1	1	0.35	0.37	0.478	0.73	0.296	0.19	0.55	0.412	0.244	0.171	0.19	0.2	0.224	0.22	0.275	0.359
1	1	1	1	0.195	0.191	0.139	0.253	0.183	0.351	0.272	0.259	0.168	0.399	0.659	0.146	0.444	0.179	0.137	0.157
1	1	1	1	0.407	0.593	0.436	0.224	0.166	0.136	0.486	0.177	0.387	0.326	0.131	0.15	0.236	0.441	0.119	0.136
1	1	1	0.999	0.255	0.6	0.277	0.237	0.423	0.407	0.198	0.245	0.25	0.178	0.223	0.162	0.171	0.382	0.168	0.178
1	1	1	1	0.212	0.208	0.39	0.234	0.154	0.158	0.137	0.114	0.343	0.435	0.127	0.51	0.136	0.471	0.197	0.155
1	1	1	1	0.22	0.576	0.245	0.689	0.141	0.13	0.238	0.355	0.222	0.47	0.224	0.215	0.157	0.133	0.244	0.379
1	1	1	1	0.577	0.359	0.143	0.337	0.224	0.255	0.11	0.804	0.165	0.468	0.202	0.851	0.331	0.206	0.2	0.113
1	0.999	1	1	0.647	0.257	0.134	0.097	0.116	0.124	0.296	0.143	0.1	0.081	0.341	0.099	0.123	0.103	0.292	0.104
1	1	1	1	0.612	0.294	0.22	0.272	0.186	0.459	0.172	0.385	0.383	0.143	0.138	0.402	0.125	0.663	0.331	0.483
1	1	1	1	0.504	0.179	0.283	0.162	0.251	0.097	0.095	0.096	0.404	0.101	0.31	0.178	0.42	0.147	0.202	0.139
1	1	1	1	0.339	0.26	0.205	0.105	0.261	0.161	0.145	0.322	0.089	0.142	0.08	0.741	0.753	0.296	0.185	0.114
1	1	1	1	0.225	0.466	0.411	0.343	0.388	0.159	0.157	0.169	0.654	0.196	0.449	0.152	0.162	0.207	0.317	0.297
1	1	1	1	0.196	0.286	0.134	0.141	0.507	0.24	0.188	0.449	0.346	0.153	0.213	0.445	0.2	0.358	0.842	0.561
1	1	1	1	0.2	0.238	0.276	0.424	0.252	0.303	0.154	0.177	0.815	0.158	0.581	0.168	0.187	0.578	0.177	0.182
1	1	1	1	0.469	0.859	0.156	0.49	0.593	0.187	0.53	0.528	0.175	0.105	0.395	0.325	0.319	0.413	0.447	0.131
1	1	1	1	0.19	0.22	0.192	0.139	0.104	0.166	0.282	0.217	0.566	0.209	0.105	0.16	0.125	0.236	0.21	0.401
1	1	0.99	1	0.547	0.568	0.14	0.149	0.441	0.462	0.12	0.141	0.392	0.237	0.137	0.148	0.119	0.164	0.228	0.411
1	1	1	1	0.727	0.408	0.101	0.215	0.163	0.236	0.109	0.231	0.216	0.073	0.465	0.071	0.211	0.777	0.608	0.091
1	1	1	1	0.227	0.56	0.246	0.282	0.21	0.184	0.414	0.193	0.165	0.178	0.561	0.383	0.787	0.257	0.118	0.564
1	1	1	1	0.552	0.277	0.313	0.713	0.178	0.122	0.423	0.127	0.138	0.194	0.118	0.22	0.18	0.414	0.278	0.108
1	1	1	1	0.67	0.122	0.158	0.125	0.612	0.819	0.127	0.063	0.883	0.798	0.258	0.157	0.485	0.542	0.161	0.219
1	0.999	1	1	0.237	0.279	0.357	0.356	0.15	0.157	0.407	0.33	0.731	0.231	0.763	0.443	0.364	0.147	0.354	0.213
1	1	1	1	0.372	0.318	0.164	0.109	0.246	0.524	0.439	0.245	0.486	0.128	0.334	0.611	0.132	0.194	0.143	0.161
1	1	1	1	0.317	0.437	0.136	0.176	0.255	0.552	0.133	0.175	0.395	0.275	0.103	0.632	0.354	0.332	0.227	0.547
1	1	1	1	0.428	0.36	0.136	0.334	0.749	0.446	0.237	0.481	0.524	0.146	0.747	0.458	0.421	0.277	0.245	0.167
1	1	1	1	0.213	0.272	0.139	0.188	0.29	0.184	0.252	0.198	0.359	0.644	0.139	0.317	0.171	0.135	0.209	0.26
1	1	1	1	0.284	0.295	0.132	0.067	0.24	0.389	0.114	0.438	0.515	0.201	0.756	0.147	0.081	0.275	0.236	0.129
1	1	1	1	0.242	0.21	0.164	0.149	0.09	0.108	0.389	0.171	0.1	0.136	0.178	0.288	0.202	0.119	0.134	0.19
1	1	1	1	0.154	0.256	0.167	0.127	0.185	0.283	0.163	0.104	0.123	0.56	0.776	0.171	0.476	0.271	0.134	0.339
1	1	1	1	0.805	0.22	0.156	0.313	0.353	0.269	0.567	0.26	0.194	0.17	0.461	0.441	0.417	0.368	0.467	0.137
1	1	1	1	0.119	0.375	0.25	0.176	0.262	0.65	0.349	0.107	0.302	0.274	0.166	0.331	0.166	0.073	0.282	0.734
1	1	1	1	0.392	0.141	0.385	0.621	0.182	0.141	0.085	0.3	0.162	0.118	0.148	0.097	0.167	0.118	0.121	0.327
1	1	0.998	1	0.2	0.162	0.278	0.296	0.172	0.121	0.527	0.274	0.322	0.104	0.19	0.16	0.215	0.211	0.223	0.115
1	1	1	1	0.265	0.223	0.167	0.532	0.206	0.392	0.18	0.44	0.302	0.194	0.264	0.121	0.3	0.352	0.493	0.716
1	1	1	1	0.496	0.203	0.163	0.262	0.199	0.323	0.556	0.192	0.149	0.201	0.611	0.159	0.106	0.341	0.198	0.581
1	1	1	1	0.662	0.258	0.206	0.212	0.21	0.126	0.234	0.235	0.416	0.157	0.344	0.162	0.174	0.155	0.661	0.32
