Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.266	0.079	0.081	0.146	0.049	0.185	0.049	0.119	0.133	0.025	0.029	0.157	0.022	0.272	0.123	0.215
1	1	1	1	0.034	0.02	0.025	0.017	0.039	0.004	0.006	0.008	0.058	0.019	0.037	0.015	0.075	0.01	0.007	0.012
0.998	1	1	1	0.086	0.034	0.021	0.019	0.066	0.029	0.019	0.078	0.008	0.024	0.008	0.412	0.304	0.039	0.021	0.008
1	1	1	1	0.044	0.209	0.098	0.048	0.137	0.031	0.015	0.036	0.227	0.019	0.075	0.013	0.031	0.024	0.065	0.055
1	1	1	1	0.03	0.02	0.035	0.034	0.208	0.06	0.037	0.187	0.096	0.028	0.057	0.121	0.038	0.156	0.42	0.18
0.99	1	1	0.999	0.023	0.031	0.048	0.053	0.025	0.054	0.018	0.033	0.466	0.032	0.214	0.031	0.049	0.169	0.044	0.023
1	1	1	1	0.112	0.768	0.082	0.362	0.382	0.092	0.344	0.333	0.05	0.033	0.151	0.159	0.229	0.248	0.22	0.05
1	1	1	1	0.011	0.02	0.015	0.007	0.004	0.008	0.035	0.027	0.13	0.013	0.007	0.01	0.004	0.027	0.021	0.051
1	1	0.945	1	0.069	0.216	0.014	0.013	0.139	0.138	0.021	0.024	0.065	0.028	0.024	0.025	0.015	0.016	0.073	0.096
1	1	1	1	0.329	0.184	0.015	0.062	0.062	0.063	0.022	0.06	0.054	0.017	0.137	0.015	0.086	0.438	0.343	0.034
1	1	1	1	0.024	0.146	0.084	0.049	0.047	0.047	0.167	0.042	0.052	0.058	0.345	0.238	0.377	0.117	0.028	0.349
0.998	1	1	0.998	0.068	0.022	0.076	0.371	0.03	0.023	0.134	0.031	0.026	0.051	0.019	0.019	0.037	0.147	0.093	0.021
1	0.999	1	1	0.24	0.036	0.061	0.05	0.383	0.47	0.047	0.018	0.767	0.564	0.138	0.056	0.277	0.36	0.076	0.098
1	0.999	1	1	0.06	0.03	0.094	0.058	0.024	0.023	0.077	0.038	0.308	0.044	0.417	0.095	0.045	0.018	0.075	0.035
1	1	1	1	0.046	0.064	0.041	0.026	0.067	0.178	0.12	0.072	0.161	0.015	0.088	0.16	0.022	0.057	0.033	0.02
1	1	1	1	0.047	0.08	0.019	0.027	0.109	0.156	0.025	0.042	0.089	0.04	0.022	0.271	0.111	0.121	0.029	0.138
1	1	1	1	0.096	0.046	0.023	0.066	0.35	0.113	0.046	0.177	0.098	0.021	0.325	0.142	0.099	0.053	0.06	0.058
1	1	1	1	0.012	0.016	0.007	0.014	0.047	0.017	0.026	0.028	0.063	0.159	0.013	0.032	0.021	0.021	0.024	0.03
1	0.994	1	1	0.217	0.013	0.034	0.01	0.034	0.116	0.019	0.247	0.321	0.103	0.459	0.037	0.021	0.077	0.077	0.023
1	1	1	1	0.01	0.01	0.012	0.013	0.006	0.005	0.066	0.008	0.004	0.004	0.02	0.033	0.015	0.005	0.008	0.011
1	1	1	1	0.033	0.026	0.042	0.025	0.032	0.065	0.052	0.008	0.015	0.156	0.304	0.015	0.106	0.067	0.01	0.091
1	1	1	1	0.38	0.031	0.032	0.069	0.081	0.025	0.18	0.025	0.042	0.026	0.13	0.137	0.046	0.063	0.103	0.024
1	1	1	0.999	0.025	0.027	0.063	0.052	0.129	0.262	0.211	0.009	0.141	0.081	0.032	0.124	0.021	0.012	0.212	0.525
1	1	1	0.999	0.107	0.035	0.117	0.214	0.021	0.023	0.007	0.075	0.015	0.022	0.015	0.011	0.043	0.023	0.029	0.066
1	1	0.998	1	0.022	0.012	0.052	0.06	0.021	0.013	0.181	0.047	0.066	0.009	0.022	0.02	0.03	0.036	0.024	0.02
1	1	1	1	0.031	0.019	0.011	0.062	0.02	0.056	0.023	0.075	0.039	0.02	0.066	0.01	0.05	0.051	0.108	0.193
1	1	1	1	0.097	0.055	0.044	0.109	0.042	0.126	0.268	0.039	0.025	0.082	0.309	0.04	0.029	0.107	0.04	0.264
1	1	1	1	0.241	0.051	0.059	0.065	0.034	0.021	0.087	0.057	0.115	0.024	0.151	0.045	0.057	0.043	0.273	0.108
