Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	0.994	0.511	0.952	1	1	0.427	0.556	0.675	0.784	0.63	0.663	0.425	0.498	0.845	0.459	0.54	0.851	0.467	0.537
1	1	0.692	0.565	1	1	0.762	0.847	0.489	0.553	0.578	0.642	0.615	0.534	0.508	0.659	0.537	0.824	0.505	0.827
1	1	0.463	0.835	0.984	1	0.484	0.724	0.629	0.879	0.68	0.462	0.614	0.823	0.51	0.769	0.484	0.75	0.848	0.841
1	1	0.353	0.323	1	0.978	0.378	0.474	0.478	0.39	0.408	0.441	0.496	0.78	0.619	0.354	0.35	0.838	0.781	0.634
1	0.997	0.52	0.472	1	1	0.474	0.601	0.743	0.488	0.549	0.671	0.519	0.46	0.413	0.599	0.525	0.46	0.502	0.698
1	1	0.485	0.486	1	1	0.555	0.521	0.546	0.746	0.989	0.519	0.863	0.542	0.625	0.565	0.666	0.864	0.641	0.648
1	1	0.853	0.685	1	0.98	0.612	0.758	0.622	0.747	0.928	0.589	0.657	0.428	0.493	0.725	0.397	0.5	0.438	0.542
1	1	0.466	0.489	1	0.998	0.389	0.426	0.478	0.631	0.545	0.808	0.443	0.497	0.457	0.416	0.737	0.701	0.81	0.565
0.999	1	0.458	0.91	1	1	0.508	0.428	0.488	0.392	0.617	0.584	0.528	0.416	0.626	0.475	0.823	0.506	0.439	0.714
1	1	0.64	0.562	1	0.997	0.411	0.826	0.642	0.461	0.461	0.683	0.604	0.509	0.924	0.791	0.658	0.821	0.498	0.49
1	1	0.585	0.538	0.999	1	0.525	0.518	0.553	0.775	0.63	0.525	0.532	0.787	0.923	0.834	0.528	0.653	0.559	0.555
1	1	0.479	0.615	1	1	0.467	0.541	0.7	0.652	0.442	0.809	0.619	0.837	0.887	0.534	0.486	0.483	0.565	0.719
1	0.998	0.848	0.87	1	1	0.456	0.475	0.539	0.585	0.828	0.709	0.519	0.499	0.489	0.772	0.7	0.472	0.476	0.484
1	1	0.797	0.428	1	1	0.484	0.66	0.476	0.461	0.575	0.424	0.482	0.883	0.83	0.509	0.635	0.706	0.524	0.521
1	1	0.579	0.629	1	1	0.468	0.358	0.35	0.448	0.614	0.388	0.354	0.616	0.374	0.348	0.405	0.497	0.376	0.32
0.998	1	0.515	0.497	1	1	0.514	0.691	0.51	0.532	0.766	0.521	0.598	0.553	0.548	0.835	0.878	0.463	0.47	0.816
1	1	0.734	0.614	1	1	0.612	0.794	0.796	0.566	0.606	0.862	0.576	0.64	0.739	0.624	0.581	0.662	0.65	0.794
1	1	0.517	0.447	1	0.999	0.485	0.392	0.544	0.648	0.679	0.55	0.409	0.524	0.578	0.557	0.462	0.803	0.83	0.46
1	0.998	0.741	0.604	1	0.999	0.793	0.492	0.547	0.67	0.559	0.469	0.87	0.59	0.556	0.502	0.487	0.86	0.473	0.591
1	0.997	0.524	0.867	1	0.998	0.722	0.756	0.784	0.883	0.706	0.499	0.567	0.511	0.826	0.529	0.577	0.79	0.824	0.782
1	1	0.498	0.635	1	0.988	0.757	0.537	0.475	0.471	0.715	0.764	0.498	0.433	0.563	0.436	0.447	0.44	0.875	0.602
1	1	0.629	0.51	1	1	0.525	0.44	0.759	0.649	0.45	0.529	0.573	0.521	0.662	0.474	0.611	0.59	0.672	0.463
1	1	0.498	0.553	1	1	0.627	0.767	0.69	0.558	0.613	0.57	0.557	0.562	0.943	0.576	0.578	0.882	0.479	0.55
1	1	0.847	0.697	0.992	1	0.774	0.796	0.477	0.546	0.522	0.657	0.732	0.534	0.59	0.439	0.947	0.931	0.813	0.825
1	1	0.59	0.547	1	1	0.829	0.723	0.495	0.654	0.532	0.629	0.697	0.557	0.79	0.788	0.483	0.681	0.806	0.553
