Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	0.991	0.231	0.895	1	1	0.145	0.303	0.395	0.591	0.396	0.43	0.168	0.183	0.686	0.176	0.285	0.661	0.218	0.346
1	1	0.352	0.225	0.998	1	0.442	0.608	0.195	0.225	0.261	0.285	0.255	0.238	0.196	0.375	0.213	0.55	0.17	0.61
1	1	0.244	0.683	0.941	1	0.216	0.508	0.386	0.739	0.384	0.252	0.323	0.682	0.212	0.576	0.238	0.565	0.65	0.631
1	1	0.158	0.182	1	0.976	0.182	0.363	0.352	0.205	0.252	0.279	0.322	0.664	0.467	0.155	0.158	0.739	0.675	0.498
1	0.981	0.311	0.219	1	1	0.179	0.356	0.578	0.243	0.315	0.464	0.249	0.239	0.152	0.338	0.296	0.221	0.199	0.445
1	1	0.157	0.155	0.999	1	0.181	0.204	0.219	0.473	0.938	0.215	0.722	0.268	0.278	0.2	0.35	0.613	0.315	0.335
1	1	0.68	0.417	1	0.944	0.371	0.582	0.431	0.537	0.849	0.384	0.474	0.182	0.243	0.586	0.177	0.219	0.188	0.304
1	1	0.241	0.253	1	0.997	0.173	0.225	0.261	0.417	0.276	0.667	0.223	0.237	0.19	0.159	0.571	0.526	0.668	0.331
0.996	1	0.144	0.746	1	1	0.25	0.168	0.223	0.122	0.334	0.35	0.265	0.137	0.396	0.219	0.657	0.241	0.172	0.495
1	1	0.419	0.286	1	0.986	0.146	0.637	0.369	0.187	0.242	0.459	0.406	0.277	0.766	0.588	0.434	0.626	0.269	0.216
1	1	0.245	0.224	0.998	1	0.228	0.243	0.198	0.596	0.315	0.236	0.215	0.59	0.803	0.668	0.267	0.356	0.215	0.259
1	0.999	0.214	0.337	1	1	0.184	0.289	0.445	0.435	0.143	0.648	0.394	0.654	0.743	0.263	0.231	0.213	0.304	0.428
1	0.987	0.631	0.633	0.994	1	0.161	0.161	0.232	0.287	0.613	0.469	0.226	0.208	0.176	0.549	0.394	0.18	0.21	0.222
0.999	0.999	0.589	0.166	1	0.998	0.195	0.368	0.19	0.173	0.26	0.137	0.184	0.741	0.624	0.211	0.342	0.421	0.198	0.182
1	1	0.552	0.566	1	1	0.315	0.177	0.182	0.281	0.53	0.239	0.237	0.536	0.262	0.166	0.285	0.381	0.193	0.17
0.989	1	0.206	0.225	0.996	1	0.197	0.392	0.16	0.205	0.583	0.197	0.324	0.284	0.176	0.579	0.691	0.187	0.226	0.605
1	1	0.375	0.224	1	0.998	0.236	0.477	0.566	0.197	0.2	0.658	0.226	0.276	0.369	0.253	0.168	0.288	0.296	0.469
0.998	0.999	0.243	0.183	1	0.999	0.225	0.129	0.314	0.49	0.489	0.307	0.143	0.253	0.398	0.356	0.222	0.637	0.645	0.189
0.999	0.999	0.505	0.315	1	0.997	0.496	0.241	0.207	0.393	0.301	0.155	0.693	0.274	0.233	0.178	0.175	0.655	0.162	0.29
1	0.989	0.173	0.723	1	0.989	0.394	0.468	0.473	0.603	0.389	0.163	0.263	0.183	0.576	0.207	0.248	0.47	0.576	0.501
1	1	0.237	0.399	1	0.98	0.512	0.283	0.189	0.2	0.56	0.594	0.282	0.164	0.304	0.16	0.196	0.192	0.763	0.313
1	1	0.377	0.2	1	1	0.249	0.174	0.53	0.385	0.2	0.25	0.264	0.257	0.423	0.218	0.326	0.319	0.507	0.189
1	1	0.131	0.245	1	1	0.403	0.563	0.372	0.221	0.246	0.255	0.205	0.233	0.85	0.276	0.289	0.713	0.16	0.218
1	1	0.655	0.477	0.98	1	0.561	0.66	0.191	0.242	0.24	0.408	0.575	0.232	0.278	0.171	0.889	0.839	0.618	0.673
1	1	0.261	0.298	1	1	0.622	0.33	0.189	0.393	0.211	0.297	0.424	0.242	0.566	0.582	0.178	0.343	0.54	0.223
1	1	0.226	0.499	1	1	0.159	0.214	0.199	0.204	0.196	0.628	0.228	0.192	0.331	0.571	0.408	0.389	0.228	0.562
0.993	1	0.2	0.236	1	1	0.532	0.189	0.204	0.192	0.273	0.395	0.348	0.217	0.286	0.532	0.592	0.139	0.302	0.278
1	1	0.852	0.253	1	1	0.183	0.302	0.21	0.242	0.474	0.365	0.555	0.317	0.207	0.639	0.306	0.506	0.382	0.632
0.989	1	0.457	0.254	1	1	0.33	0.198	0.3	0.295	0.19	0.356	0.201	0.173	0.205	0.12	0.216	0.157	0.137	0.196
0.984	1	0.166	0.219	0.998	1	0.32	0.418	0.214	0.237	0.272	0.202	0.203	0.169	0.164	0.219	0.149	0.278	0.342	0.234
0.994	1	0.229	0.245	0.972	1	0.236	0.164	0.19	0.277	0.244	0.239	0.152	0.206	0.482	0.827	0.668	0.308	0.211	0.615
1	1	0.153	0.203	1	0.97	0.209	0.177	0.513	0.417	0.22	0.204	0.377	0.191	0.205	0.315	0.202	0.232	0.285	0.179
1	1	0.239	0.22	0.981	1	0.278	0.297	0.244	0.31	0.314	0.164	0.275	0.148	0.296	0.616	0.148	0.159	0.157	0.308
1	0.997	0.284	0.165	1	1	0.227	0.701	0.205	0.221	0.189	0.285	0.288	0.224	0.318	0.258	0.929	0.224	0.185	0.419
0.995	1	0.532	0.198	1	1	0.55	0.213	0.427	0.205	0.197	0.204	0.421	0.211	0.303	0.785	0.249	0.581	0.243	0.153
1	1	0.548	0.248	0.975	0.999	0.212	0.227	0.387	0.537	0.215	0.215	0.812	0.356	0.375	0.65	0.59	0.24	0.393	0.318
1	1	0.13	0.304	0.97	0.915	0.858	0.217	0.16	0.176	0.393	0.852	0.289	0.255	0.937	0.402	0.401	0.287	0.264	0.314
1	1	0.318	0.227	0.994	0.991	0.138	0.233	0.174	0.14	0.224	0.437	0.17	0.348	0.151	0.202	0.319	0.212	0.326	0.459
1	0.998	0.208	0.243	1	0.999	0.537	0.208	0.602	0.399	0.188	0.158	0.168	0.174	0.167	0.208	0.203	0.159	0.214	0.323
0.982	1	0.268	0.206	0.999	0.965	0.171	0.287	0.432	0.199	0.335	0.252	0.269	0.619	0.522	0.88	0.15	0.828	0.18	0.139
0.998	0.991	0.304	0.195	1	1	0.223	0.906	0.261	0.143	0.767	0.547	0.202	0.165	0.733	0.395	0.294	0.156	0.41	0.366
0.93	1	0.225	0.276	0.999	1	0.22	0.786	0.166	0.148	0.229	0.471	0.332	0.212	0.206	0.453	0.404	0.171	0.477	0.149
1	1	0.205	0.223	1	1	0.179	0.868	0.19	0.341	0.334	0.882	0.172	0.694	0.213	0.27	0.227	0.228	0.189	0.224
1	0.998	0.666	0.24	1	0.984	0.626	0.273	0.521	0.404	0.186	0.223	0.218	0.444	0.385	0.363	0.18	0.54	0.261	0.249
1	1	0.53	0.143	1	1	0.722	0.214	0.219	0.464	0.216	0.494	0.161	0.306	0.33	0.234	0.481	0.352	0.556	0.278
1	1	0.229	0.477	0.999	0.995	0.427	0.25	0.197	0.196	0.22	0.667	0.225	0.49	0.21	0.179	0.651	0.241	0.218	0.79
1	1	0.204	0.194	1	1	0.177	0.223	0.491	0.433	0.283	0.46	0.448	0.229	0.567	0.409	0.433	0.212	0.241	0.278
0.998	1	0.191	0.429	0.997	1	0.328	0.323	0.222	0.195	0.23	0.293	0.301	0.641	0.371	0.57	0.273	0.419	0.317	0.209
1	1	0.253	0.779	1	1	0.394	0.45	0.199	0.423	0.202	0.254	0.211	0.237	0.208	0.562	0.194	0.288	0.21	0.413
1	0.998	0.24	0.498	1	1	0.54	0.209	0.239	0.384	0.856	0.243	0.514	0.271	0.262	0.551	0.479	0.261	0.405	0.167
1	1	0.38	0.246	1	1	0.408	0.233	0.499	0.359	0.254	0.313	0.183	0.267	0.486	0.196	0.255	0.543	0.263	0.187
1	1	0.643	0.59	0.999	1	0.504	0.418	0.242	0.275	0.307	0.171	0.778	0.491	0.327	0.38	0.252	0.25	0.175	0.266
1	0.993	0.728	0.544	0.999	0.999	0.476	0.25	0.195	0.21	0.18	0.204	0.267	0.34	0.355	0.628	0.398	0.303	0.254	0.181
1	0.997	0.376	0.598	0.998	1	0.388	0.219	0.213	0.225	0.476	0.379	0.152	0.319	0.722	0.217	0.547	0.655	0.391	0.379
1	1	0.334	0.207	1	1	0.474	0.246	0.236	0.15	0.234	0.373	0.624	0.838	0.644	0.211	0.526	0.52	0.235	0.205
1	0.998	0.731	0.537	1	0.977	0.214	0.267	0.248	0.3	0.233	0.708	0.198	0.166	0.439	0.234	0.209	0.228	0.284	0.244
1	1	0.163	0.695	1	0.999	0.125	0.141	0.191	0.201	0.224	0.199	0.267	0.684	0.289	0.513	0.178	0.227	0.384	0.188
0.998	0.999	0.594	0.512	1	1	0.223	0.167	0.543	0.418	0.34	0.757	0.28	0.235	0.49	0.411	0.21	0.702	0.178	0.681
1	0.997	0.307	0.209	0.994	1	0.45	0.178	0.736	0.168	0.263	0.194	0.173	0.14	0.226	0.701	0.72	0.215	0.228	0.842
1	1	0.215	0.258	1	1	0.205	0.245	0.836	0.347	0.249	0.478	0.511	0.769	0.176	0.221	0.425	0.325	0.622	0.364
1	1	0.292	0.247	0.998	1	0.187	0.747	0.169	0.321	0.226	0.399	0.159	0.437	0.243	0.188	0.172	0.264	0.856	0.234
0.999	0.999	0.335	0.253	0.998	1	0.285	0.396	0.147	0.186	0.257	0.799	0.408	0.502	0.193	0.162	0.203	0.171	0.413	0.353
1	1	0.944	0.304	1	0.975	0.74	0.252	0.289	0.73	0.516	0.254	0.812	0.32	0.699	0.287	0.305	0.432	0.42	0.453
1	1	0.201	0.284	1	1	0.226	0.176	0.422	0.391	0.305	0.224	0.204	0.316	0.268	0.212	0.332	0.218	0.274	0.243
1	1	0.728	0.15	0.996	1	0.399	0.259	0.221	0.171	0.361	0.49	0.394	0.23	0.218	0.166	0.318	0.187	0.304	0.35
1	1	0.239	0.551	1	0.997	0.221	0.203	0.223	0.615	0.201	0.192	0.178	0.327	0.568	0.215	0.466	0.545	0.299	0.409
1	0.999	0.519	0.223	1	1	0.765	0.219	0.304	0.26	0.254	0.293	0.308	0.242	0.563	0.217	0.251	0.222	0.445	0.238
1	1	0.149	0.166	0.996	1	0.792	0.182	0.19	0.167	0.23	0.248	0.382	0.556	0.258	0.338	0.524	0.308	0.612	0.26
1	0.999	0.517	0.326	1	1	0.407	0.579	0.213	0.304	0.466	0.406	0.229	0.256	0.384	0.494	0.875	0.191	0.254	0.178
0.972	1	0.675	0.499	0.999	1	0.219	0.138	0.304	0.319	0.189	0.345	0.663	0.163	0.442	0.107	0.283	0.617	0.574	0.29
1	0.989	0.435	0.909	1	1	0.299	0.387	0.317	0.468	0.202	0.164	0.274	0.381	0.231	0.313	0.196	0.266	0.178	0.213
1	1	0.284	0.407	1	1	0.255	0.279	0.167	0.438	0.298	0.136	0.267	0.147	0.176	0.621	0.467	0.437	0.323	0.157
0.988	1	0.364	0.201	0.973	1	0.297	0.219	0.658	0.289	0.373	0.431	0.449	0.759	0.4	0.245	0.325	0.275	0.238	0.21
1	1	0.228	0.183	1	1	0.229	0.564	0.153	0.602	0.212	0.293	0.652	0.255	0.792	0.195	0.263	0.178	0.196	0.201
1	1	0.941	0.217	0.998	1	0.245	0.275	0.294	0.236	0.688	0.243	0.222	0.354	0.254	0.177	0.321	0.537	0.24	0.578
1	1	0.337	0.19	0.999	1	0.347	0.167	0.604	0.202	0.304	0.807	0.175	0.192	0.313	0.158	0.149	0.145	0.346	0.651
0.732	1	0.227	0.221	1	1	0.304	0.241	0.241	0.207	0.377	0.52	0.564	0.322	0.617	0.26	0.35	0.184	0.859	0.219
1	0.996	0.384	0.298	0.98	0.997	0.195	0.707	0.241	0.201	0.265	0.174	0.393	0.15	0.986	0.18	0.297	0.189	0.245	0.269
0.991	1	0.239	0.218	1	0.999	0.174	0.431	0.918	0.609	0.388	0.193	0.334	0.158	0.371	0.185	0.453	0.183	0.164	0.436
1	0.999	0.718	0.604	0.72	1	0.138	0.233	0.25	0.246	0.201	0.374	0.407	0.724	0.562	0.289	0.198	0.325	0.329	0.466
1	0.994	0.813	0.435	0.997	1	0.161	0.505	0.642	0.263	0.277	0.478	0.208	0.424	0.295	0.188	0.238	0.396	0.195	0.247
1	1	0.273273273273273	0.17017017017017	1	1	0.156156156156156	0.184184184184184	0.156156156156156	0.218218218218218	0.207207207207207	0.835835835835836	0.205205205205205	0.365365365365365	0.449449449449449	0.177177177177177	0.447447447447447	0.197197197197197	0.573573573573574	0.780780780780781
0.978	1	0.187	0.852	0.999	0.994	0.539	0.339	0.19	0.374	0.655	0.175	0.196	0.231	0.247	0.362	0.173	0.448	0.297	0.445
1	1	0.197	0.677	1	0.999	0.413	0.664	0.229	0.4	0.355	0.248	0.228	0.39	0.289	0.24	0.229	0.245	0.362	0.147
1	1	0.266	0.377	0.96	1	0.26	0.176	0.238	0.327	0.224	0.495	0.31	0.186	0.338	0.462	0.494	0.73	0.455	0.277
0.978	1	0.393	0.138	0.999	0.998	0.365	0.222	0.302	0.22	0.323	0.123	0.551	0.163	0.205	0.216	0.179	0.253	0.161	0.269
1	1	0.543	0.207	1	1	0.27	0.729	0.37	0.721	0.203	0.828	0.274	0.543	0.423	0.913	0.203	0.398	0.385	0.156
1	1	0.297	0.327	1	1	0.526	0.165	0.575	0.216	0.209	0.173	0.607	0.591	0.955	0.229	0.358	0.243	0.196	0.674
0.998	1	0.313	0.968	1	1	0.438	0.213	0.407	0.242	0.227	0.403	0.356	0.794	0.158	0.156	0.287	0.397	0.194	0.611
1	1	0.785	0.242	1	0.986	0.744	0.334	0.244	0.253	0.341	0.35	0.205	0.174	0.261	0.333	0.407	0.313	0.208	0.79
1	1	0.225	0.229	1	0.999	0.485	0.579	0.234	0.138	0.15	0.663	0.238	0.319	0.366	0.201	0.384	0.403	0.233	0.373
0.997	1	0.329	0.148	1	0.986	0.329	0.201	0.431	0.238	0.194	0.231	0.279	0.656	0.493	0.257	0.197	0.54	0.161	0.391
1	1	0.325	0.221	1	1	0.24	0.38	0.201	0.217	0.261	0.429	0.218	0.556	0.229	0.264	0.487	0.195	0.255	0.202
1	0.856	0.211	0.213	0.995	1	0.229	0.217	0.218	0.203	0.276	0.43	0.219	0.385	0.172	0.638	0.192	0.179	0.368	0.261
1	0.98	0.352	0.253	0.988	1	0.151	0.437	0.664	0.189	0.503	0.27	0.196	0.225	0.47	0.341	0.235	0.256	0.259	0.196
