Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.932	0.894	1	1	0.039	0.037	0.141	0.147	0.147	0.232	0.053	0.037	0.059	0.423	0.031	0.093	0.119	0.037	0.03	0.076
0.905	0.929	1	1	0.184	0.019	0.184	0.06	0.097	0.191	0.293	0.035	0.022	0.122	0.213	0.227	0.028	0.015	0.04	0.031
0.398	0.056	1	1	0.035	0.006	0.018	0.034	0.017	0.018	0.012	0.011	0.008	0.005	0.025	0.017	0.011	0.025	0.023	0.007
0.429	0.519	1	1	0.032	0.026	0.033	0.028	0.015	0.104	0.021	0.012	0.028	0.129	0.154	0.04	0.046	0.055	0.229	0.088
0.768	0.951	1	1	0.024	0.106	0.048	0.026	0.03	0.042	0.045	0.024	0.017	0.142	0.102	0.017	0.023	0.034	0.114	0.107
0.86	0.696	1	1	0.05	0.074	0.168	0.041	0.01	0.241	0.04	0.217	0.016	0.031	0.04	0.08	0.083	0.04	0.103	0.034
0.915	0.647	1	1	0.016	0.291	0.032	0.024	0.038	0.144	0.015	0.1	0.027	0.031	0.068	0.178	0.017	0.029	0.063	0.122
0.569	0.671	1	1	0.126	0.063	0.135	0.024	0.038	0.028	0.04	0.08	0.022	0.062	0.023	0.015	0.029	0.022	0.404	0.169
0.07	0.163	1	1	0.025	0.019	0.027	0.213	0.021	0.008	0.011	0.024	0.03	0.158	0.017	0.017	0.018	0.074	0.018	0.029
0.903	0.671	1	1	0.072	0.017	0.021	0.02	0.018	0.375	0.062	0.042	0.154	0.003	0.072	0.267	0.308	0.039	0.087	0.152
0.039	0.528	1	1	0.146	0.033	0.015	0.009	0.016	0.028	0.043	0.028	0.17	0.047	0.078	0.02	0.236	0.194	0.124	0.077
0.359	0.749	1	0.998	0.1	0.019	0.103	0.016	0.049	0.139	0.036	0.211	0.013	0.039	0.124	0.049	0.038	0.042	0.027	0.125
0.699	0.557	1	1	0.102	0.075	0.032	0.471	0.033	0.148	0.197	0.017	0.039	0.05	0.399	0.017	0.159	0.035	0.229	0.085
0.834	0.063	1	1	0.159	0.044	0.016	0.017	0.141	0.037	0.018	0.02	0.019	0.011	0.064	0.444	0.036	0.031	0.011	0.039
0.899	0.764	1	1	0.043	0.017	0.032	0.01	0.018	0.064	0.011	0.101	0.233	0.232	0.029	0.439	0.018	0.039	0.035	0.096
0.399	0.36	1	1	0.076	0.084	0.124	0.091	0.36	0.015	0.096	0.019	0.025	0.016	0.023	0.023	0.035	0.072	0.05	0.024
0.0192893401015228	0.512690355329949	0.969543147208122	1	0.106598984771574	0.016243654822335	0.0578680203045685	0.174619289340102	0.0152284263959391	0.0578680203045685	0.0690355329949239	0.0294416243654822	0.0203045685279188	0.0192893401015228	0.108629441624365	0.0192893401015228	0.0304568527918782	0.147208121827411	0.0355329949238579	0.0182741116751269
0.827	0.671	1	0.996	0.062	0.128	0.048	0.036	0.098	0.044	0.16	0.105	0.049	0.062	0.26	0.023	0.156	0.067	0.048	0.063
0.585	0.496	1	1	0.077	0.022	0.018	0.022	0.012	0.098	0.008	0.059	0.081	0.108	0.031	0.021	0.026	0.174	0.035	0.033
0.344689378757515	0.718436873747495	1	1	0.11122244488978	0.0731462925851703	0.0190380761523046	0.0220440881763527	0.114228456913828	0.0501002004008016	0.134268537074148	0.062124248496994	0.0220440881763527	0.0120240480961924	0.0470941883767535	0.0260521042084168	0.100200400801603	0.0260521042084168	0.0330661322645291	0.0541082164328657
0.807	0.957	1	1	0.122	0.031	0.058	0.294	0.238	0.574	0.089	0.117	0.045	0.099	0.044	0.075	0.117	0.113	0.027	0.051
0.152	0.391	1	1	0.063	0.005	0.011	0.006	0.064	0.017	0.026	0.037	0.014	0.014	0.03	0.023	0.034	0.146	0.018	0.021
0.076	0.685	1	1	0.04	0.051	0.108	0.255	0.027	0.017	0.143	0.102	0.038	0.017	0.012	0.029	0.022	0.025	0.043	0.056
0.945	0.541	1	1	0.029	0.015	0.02	0.072	0.064	0.113	0.073	0.057	0.027	0.09	0.247	0.034	0.105	0.033	0.021	0.026
0.218	0.783	1	1	0.102	0.092	0.104	0.058	0.046	0.021	0.198	0.049	0.093	0.063	0.027	0.032	0.075	0.205	0.03	0.044
0.894	0.429	1	0.997	0.024	0.09	0.071	0.033	0.14	0.117	0.026	0.086	0.09	0.028	0.062	0.018	0.033	0.114	0.028	0.017
0.069	0.02	1	1	0.01	0.01	0.065	0.039	0.013	0.019	0.007	0.014	0.073	0.095	0.003	0.136	0.008	0.107	0.024	0.027
0.465	0.064	1	1	0.099	0.05	0.062	0.248	0.016	0.033	0.061	0.092	0.018	0.14	0.049	0.034	0.02	0.014	0.061	0.089
0.847	0.85	1	1	0.12	0.099	0.035	0.083	0.063	0.086	0.02	0.474	0.036	0.172	0.039	0.579	0.126	0.077	0.038	0.023
0.726	0.083	1	1	0.086	0.054	0.018	0.01	0.019	0.017	0.084	0.016	0.016	0.012	0.126	0.013	0.02	0.009	0.072	0.017
0.865	0.713	1	1	0.283	0.089	0.104	0.197	0.068	0.238	0.054	0.14	0.172	0.037	0.038	0.186	0.025	0.328	0.152	0.275
0.423	0.938	1	1	0.085	0.027	0.047	0.03	0.066	0.006	0.011	0.012	0.087	0.029	0.071	0.028	0.105	0.016	0.011	0.018
0.186	0.457	1	1	0.093	0.045	0.026	0.017	0.079	0.022	0.019	0.092	0.014	0.025	0.011	0.427	0.313	0.05	0.029	0.012
0.513	0.558	1	1	0.04	0.23	0.105	0.054	0.159	0.036	0.016	0.034	0.259	0.027	0.083	0.012	0.031	0.017	0.08	0.057
0.674	0.499	1	1	0.025	0.017	0.032	0.038	0.194	0.067	0.034	0.202	0.106	0.027	0.053	0.119	0.037	0.172	0.455	0.176
0.025	0.189	1	0.998	0.017	0.014	0.047	0.046	0.024	0.051	0.015	0.025	0.372	0.026	0.174	0.022	0.044	0.172	0.036	0.014
0.523	0.239	1	1	0.125	0.751	0.093	0.367	0.391	0.101	0.339	0.317	0.062	0.033	0.159	0.167	0.243	0.287	0.221	0.051
0.429	0.269	1	1	0.022	0.019	0.02	0.011	0.007	0.012	0.045	0.033	0.152	0.016	0.013	0.01	0.009	0.033	0.039	0.082
0.780561122244489	0.492985971943888	0.968937875751503	1	0.0871743486973948	0.238476953907816	0.0120240480961924	0.0130260521042084	0.139278557114228	0.152304609218437	0.0220440881763527	0.0270541082164329	0.0861723446893788	0.0250501002004008	0.0210420841683367	0.0280561122244489	0.0150300601202405	0.0220440881763527	0.0831663326653307	0.115230460921844
0.911	0.27	1	1	0.342	0.184	0.025	0.069	0.079	0.081	0.03	0.073	0.072	0.02	0.159	0.018	0.097	0.525	0.375	0.039
0.761	0.302	1	1	0.032	0.178	0.089	0.059	0.053	0.06	0.19	0.043	0.06	0.077	0.389	0.26	0.418	0.138	0.037	0.396
0.233	0.388	1	0.999	0.079	0.018	0.076	0.365	0.03	0.019	0.145	0.032	0.027	0.051	0.02	0.017	0.04	0.167	0.095	0.022
0.588	0.089	1	1	0.276	0.044	0.076	0.064	0.415	0.505	0.053	0.021	0.793	0.561	0.14	0.061	0.319	0.38	0.074	0.104
0.062	0.102	1	1	0.039	0.02	0.074	0.042	0.015	0.017	0.055	0.03	0.25	0.028	0.358	0.074	0.034	0.016	0.05	0.031
0.212	0.086	1	1	0.041	0.06	0.028	0.019	0.069	0.157	0.114	0.062	0.153	0.018	0.081	0.159	0.02	0.046	0.034	0.022
0.64	0.585	1	1	0.077	0.106	0.029	0.038	0.165	0.173	0.045	0.06	0.131	0.058	0.031	0.349	0.143	0.15	0.041	0.194
0.811	0.851	1	1	0.13	0.073	0.027	0.108	0.483	0.17	0.058	0.268	0.153	0.041	0.45	0.208	0.169	0.102	0.1	0.089
0.165	0.269	1	1	0.008	0.022	0.005	0.013	0.037	0.017	0.031	0.024	0.061	0.147	0.015	0.035	0.018	0.016	0.02	0.025
0.03	0.021	1	1	0.124	0.006	0.019	0.006	0.016	0.082	0.014	0.169	0.213	0.064	0.363	0.023	0.006	0.056	0.046	0.015
0.246	0.058	1	1	0.016	0.012	0.012	0.018	0.004	0.002	0.059	0.01	0.006	0.005	0.024	0.03	0.015	0.008	0.006	0.013
0.255	0.821	1	1	0.034	0.022	0.053	0.02	0.043	0.072	0.059	0.011	0.014	0.177	0.339	0.014	0.115	0.08	0.012	0.09
0.769	0.93	1	1	0.484	0.034	0.039	0.097	0.108	0.043	0.229	0.039	0.055	0.027	0.17	0.182	0.063	0.096	0.153	0.028
0.879	0.451	1	1	0.024	0.042	0.062	0.069	0.166	0.353	0.241	0.014	0.19	0.115	0.049	0.16	0.038	0.016	0.216	0.639
0.259	0.989	1	1	0.12	0.036	0.157	0.243	0.032	0.023	0.007	0.09	0.02	0.036	0.02	0.013	0.053	0.029	0.031	0.094
0.49498997995992	0.182364729458918	1	1	0.0200400801603206	0.0140280561122244	0.0671342685370741	0.0591182364729459	0.0200400801603206	0.0110220440881764	0.168336673346693	0.0551102204408818	0.0671342685370741	0.0100200400801603	0.0360721442885772	0.0170340681362725	0.0230460921843687	0.0360721442885772	0.030060120240481	0.0200400801603206
0.892	0.702	1	1	0.039	0.024	0.029	0.093	0.032	0.086	0.039	0.125	0.056	0.027	0.101	0.016	0.074	0.104	0.18	0.275
