Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.492	0.175	0.748	0.319	0.166	0.353	0.235	0.488	0.079	0.257	0.197	0.135	0.255	0.087	0.088	0.612
1	1	1	1	0.491	0.194	0.372	0.298	0.188	0.31	0.196	0.215	0.119	0.16	0.164	0.4	0.301	0.305	0.092	0.184
0.999	1	1	1	0.203	0.232	0.092	0.123	0.173	0.111	0.123	0.194	0.114	0.11	0.181	0.1	0.132	0.312	0.233	0.245
1	1	1	1	0.588	0.514	0.154	0.476	0.178	0.118	0.156	0.266	0.488	0.179	0.145	0.143	0.104	0.388	0.109	0.175
1	1	1	1	0.418	0.194	0.181	0.171	0.181	0.308	0.161	0.494	0.231	0.516	0.524	0.179	0.446	0.35	0.195	0.238
1	1	1	1	0.405	0.188	0.225	0.179	0.219	0.888	0.375	0.137	0.471	0.111	0.095	0.554	0.276	0.128	0.454	0.236
1	1	1	1	0.405	0.101	0.292	0.091	0.097	0.044	0.044	0.201	0.347	0.074	0.073	0.35	0.119	0.2	0.056	0.1
0.998	1	1	1	0.514	0.137	0.091	0.219	0.446	0.362	0.13	0.286	0.557	0.322	0.102	0.097	0.498	0.527	0.399	0.435
1	1	1	1	0.819	0.138	0.553	0.207	0.223	0.228	0.204	0.183	0.113	0.184	0.118	0.127	0.171	0.172	0.139	0.155
1	1	1	1	0.254	0.171	0.301	0.331	0.339	0.702	0.162	0.232	0.683	0.18	0.383	0.594	0.535	0.285	0.137	0.355
1	1	1	1	0.27	0.223	0.203	0.126	0.178	0.751	0.296	0.157	0.153	0.269	0.336	0.254	0.125	0.277	0.335	0.527
1	1	1	1	0.801	0.304	0.179	0.221	0.39	0.2	0.477	0.2	0.08	0.507	0.258	0.686	0.328	0.114	0.262	0.143
1	1	1	1	0.454	0.352	0.272	0.173	0.416	0.313	0.184	0.272	0.698	0.259	0.242	0.829	0.166	0.259	0.156	0.179
1	1	1	1	0.33	0.316	0.22	0.2	0.098	0.279	0.332	0.326	0.129	0.263	0.637	0.081	0.8	0.191	0.153	0.258
1	1	1	1	0.187	0.35	0.215	0.074	0.28	0.193	0.091	0.112	0.111	0.204	0.149	0.122	0.375	0.101	0.137	0.144
1	1	1	1	0.147	0.171	0.312	0.317	0.31	0.154	0.157	0.251	0.152	0.148	0.497	0.111	0.242	0.109	0.153	0.128
1	1	1	1	0.216	0.206	0.571	0.112	0.133	0.342	0.131	0.123	0.137	0.444	0.093	0.154	0.12	0.076	0.1	0.192
1	1	1	1	0.132	0.327	0.251	0.102	0.122	0.125	0.115	0.091	0.118	0.16	0.497	0.099	0.497	0.179	0.083	0.78
1	1	1	1	0.743	0.156	0.133	0.144	0.549	0.377	0.118	0.215	0.306	0.126	0.121	0.105	0.333	0.146	0.094	0.377
1	1	1	1	0.399	0.131	0.379	0.283	0.437	0.367	0.181	0.111	0.112	0.639	0.175	0.425	0.095	0.479	0.143	0.094
1	1	1	1	0.187	0.16	0.155	0.145	0.501	0.818	0.268	0.084	0.233	0.255	0.647	0.128	0.145	0.128	0.313	0.142
1	1	1	1	0.216	0.769	0.106	0.211	0.149	0.144	0.605	0.403	0.508	0.237	0.143	0.089	0.082	0.117	0.104	0.203
1	0.998	1	1	0.203	0.305	0.154	0.521	0.197	0.25	0.175	0.181	0.163	0.156	0.439	0.191	0.298	0.514	0.229	0.158
1	1	1	1	0.175	0.337	0.268	0.431	0.2	0.321	0.127	0.122	0.321	0.804	0.135	0.114	0.12	0.133	0.101	0.122
1	1	1	1	0.238	0.322	0.346	0.387	0.361	0.491	0.169	0.156	0.185	0.638	0.111	0.34	0.354	0.148	0.15	0.261
1	1	1	1	0.389	0.124	0.26	0.115	0.206	0.32	0.452	0.124	0.077	0.291	0.422	0.425	0.111	0.045	0.099	0.081
1	1	1	1	0.489	0.222	0.188	0.262	0.192	0.196	0.252	0.175	0.117	0.118	0.217	0.211	0.136	0.292	0.293	0.13
1	1	1	1	0.168	0.201	0.114	0.142	0.113	0.295	0.136	0.069	0.142	0.43	0.407	0.201	0.161	0.257	0.448	0.344
1	1	1	1	0.249	0.374	0.12	0.115	0.131	0.16	0.131	0.079	0.062	0.301	0.299	0.094	0.102	0.102	0.255	0.312
1	1	1	1	0.35	0.413	0.391	0.206	0.1	0.474	0.236	0.547	0.14	0.156	0.153	0.312	0.278	0.156	0.345	0.174
1	1	1	1	0.14	0.734	0.128	0.153	0.157	0.495	0.088	0.281	0.14	0.201	0.274	0.544	0.135	0.176	0.252	0.406
1	1	1	1	0.33	0.175	0.276	0.088	0.122	0.1	0.162	0.171	0.112	0.175	0.086	0.082	0.127	0.082	0.541	0.271
1	1	1	1	0.237	0.297	0.159	0.732	0.204	0.132	0.179	0.191	0.209	0.596	0.15	0.209	0.178	0.389	0.137	0.163
1	1	1	1	0.203	0.136	0.112	0.156	0.081	0.658	0.225	0.142	0.349	0.067	0.217	0.524	0.549	0.153	0.21	0.313
1	1	1	1	0.543	0.238	0.117	0.104	0.098	0.144	0.179	0.139	0.406	0.169	0.221	0.095	0.586	0.544	0.357	0.266
1	1	1	1	0.448	0.193	0.375	0.122	0.27	0.4	0.21	0.522	0.144	0.189	0.382	0.227	0.214	0.184	0.132	0.348
1	1	1	1	0.256	0.264	0.145	0.697	0.106	0.427	0.391	0.115	0.152	0.127	0.626	0.104	0.4	0.123	0.39	0.198
1	1	1	1	0.546	0.2	0.094	0.098	0.409	0.195	0.12	0.137	0.096	0.087	0.237	0.778	0.288	0.139	0.109	0.139
1	1	1	1	0.392	0.199	0.2	0.124	0.212	0.394	0.11	0.362	0.633	0.737	0.2	0.843	0.138	0.182	0.199	0.343
1	1	1	1	0.383	0.369	0.477	0.469	0.775	0.152	0.426	0.164	0.202	0.152	0.207	0.18	0.183	0.346	0.329	0.156
1	1	1	1	0.481	0.272	0.446	0.584	0.177	0.355	0.3	0.207	0.173	0.168	0.53	0.191	0.216	0.575	0.332	0.293
1	1	1	1	0.376	0.571	0.15	0.186	0.286	0.275	0.365	0.258	0.132	0.178	0.431	0.123	0.335	0.225	0.202	0.215
1	1	1	1	0.46	0.227	0.115	0.183	0.129	0.284	0.091	0.307	0.271	0.451	0.145	0.138	0.179	0.55	0.159	0.183
1	1	1	1	0.479	0.299	0.115	0.187	0.293	0.209	0.305	0.218	0.126	0.108	0.24	0.173	0.303	0.161	0.178	0.212
1	1	1	1	0.407	0.136	0.151	0.47	0.425	0.884	0.207	0.322	0.166	0.294	0.135	0.206	0.354	0.294	0.114	0.183
1	1	1	1	0.263	0.082	0.064	0.062	0.212	0.101	0.102	0.144	0.068	0.088	0.12	0.119	0.155	0.437	0.094	0.114
1	1	1	1	0.33	0.373	0.407	0.639	0.253	0.169	0.49	0.337	0.207	0.129	0.162	0.168	0.18	0.162	0.217	0.27
1	1	1	1	0.196	0.186	0.132	0.264	0.204	0.346	0.256	0.253	0.172	0.404	0.592	0.152	0.407	0.171	0.105	0.147
1	1	1	1	0.358	0.449	0.351	0.215	0.156	0.12	0.469	0.154	0.346	0.262	0.109	0.129	0.203	0.382	0.12	0.13
1	1	1	1	0.272	0.573	0.262	0.241	0.425	0.395	0.21	0.242	0.248	0.178	0.218	0.173	0.173	0.365	0.153	0.156
1	1	1	1	0.179	0.219	0.363	0.214	0.133	0.148	0.124	0.105	0.307	0.408	0.123	0.485	0.127	0.452	0.201	0.145
1	1	1	1	0.329	0.281	0.227	0.64	0.117	0.121	0.193	0.312	0.159	0.489	0.261	0.153	0.124	0.11	0.23	0.388
1	1	1	1	0.439	0.408	0.155	0.296	0.221	0.23	0.096	0.798	0.138	0.445	0.183	0.831	0.357	0.213	0.178	0.107
1	1	1	1	0.449	0.333	0.142	0.081	0.114	0.115	0.274	0.119	0.085	0.122	0.458	0.098	0.137	0.086	0.274	0.119
1	1	1	1	0.514	0.249	0.232	0.274	0.161	0.432	0.13	0.32	0.369	0.131	0.15	0.381	0.129	0.615	0.293	0.452
1	1	1	1	0.452	0.12	0.18	0.102	0.191	0.071	0.049	0.074	0.276	0.085	0.2	0.109	0.283	0.084	0.131	0.088
1	1	1	1	0.404	0.254	0.131	0.077	0.216	0.135	0.094	0.253	0.061	0.129	0.06	0.702	0.613	0.222	0.117	0.067
1	1	1	1	0.416	0.658	0.376	0.322	0.427	0.198	0.156	0.21	0.64	0.173	0.391	0.136	0.154	0.164	0.293	0.28
1	1	1	1	0.175	0.229	0.169	0.149	0.486	0.248	0.185	0.403	0.362	0.151	0.215	0.425	0.223	0.359	0.843	0.495
0.998	1	1	1	0.163	0.176	0.182	0.251	0.133	0.228	0.094	0.138	0.744	0.15	0.454	0.122	0.207	0.413	0.168	0.11
1	1	1	1	0.217	0.921	0.159	0.584	0.591	0.187	0.521	0.551	0.122	0.094	0.287	0.303	0.353	0.432	0.397	0.126
1	1	1	1	0.209	0.214	0.161	0.12	0.065	0.132	0.237	0.21	0.475	0.189	0.077	0.127	0.097	0.207	0.193	0.351
1	1	0.994	1	0.525	0.558	0.135	0.137	0.399	0.483	0.12	0.132	0.385	0.197	0.14	0.138	0.125	0.136	0.224	0.42
1	1	1	1	0.711	0.404	0.092	0.198	0.168	0.227	0.103	0.21	0.199	0.071	0.441	0.058	0.204	0.786	0.591	0.087
1	1	1	1	0.163	0.528	0.244	0.224	0.171	0.157	0.348	0.199	0.142	0.142	0.564	0.385	0.588	0.233	0.106	0.584
1	1	1	1	0.353	0.167	0.272	0.683	0.117	0.102	0.351	0.134	0.124	0.184	0.096	0.107	0.177	0.412	0.265	0.092
1	1	1	1	0.495	0.111	0.138	0.115	0.608	0.782	0.119	0.049	0.908	0.792	0.277	0.13	0.5	0.54	0.154	0.202
1	1	1	1	0.279	0.296	0.398	0.299	0.147	0.118	0.34	0.256	0.589	0.235	0.745	0.327	0.275	0.132	0.284	0.17
1	1	1	1	0.263	0.322	0.173	0.086	0.217	0.446	0.368	0.201	0.438	0.103	0.284	0.541	0.108	0.159	0.13	0.13
1	1	1	1	0.246	0.326	0.1	0.12	0.228	0.46	0.107	0.133	0.31	0.207	0.078	0.533	0.308	0.283	0.16	0.424
1	1	1	1	0.331	0.272	0.094	0.248	0.634	0.332	0.144	0.376	0.37	0.101	0.623	0.366	0.297	0.186	0.168	0.144
1	1	1	1	0.166	0.212	0.114	0.111	0.239	0.137	0.211	0.217	0.337	0.532	0.126	0.211	0.16	0.153	0.176	0.189
1	0.999	1	1	0.483	0.148	0.135	0.086	0.161	0.288	0.102	0.463	0.636	0.285	0.712	0.134	0.079	0.293	0.188	0.109
1	1	1	1	0.207	0.177	0.131	0.129	0.056	0.098	0.335	0.108	0.087	0.109	0.233	0.247	0.168	0.089	0.101	0.155
1	1	1	1	0.172	0.238	0.14	0.103	0.152	0.191	0.18	0.095	0.1	0.496	0.685	0.129	0.417	0.272	0.112	0.31
1	1	1	1	0.72	0.185	0.113	0.235	0.263	0.183	0.427	0.163	0.141	0.12	0.352	0.339	0.26	0.252	0.343	0.105
1	1	1	1	0.156	0.214	0.28	0.181	0.27	0.566	0.402	0.083	0.267	0.242	0.156	0.31	0.123	0.062	0.428	0.796
1	1	1	1	0.422	0.168	0.361	0.612	0.145	0.128	0.071	0.264	0.114	0.111	0.156	0.087	0.133	0.102	0.093	0.271
1	1	0.999	1	0.211	0.241	0.265	0.315	0.157	0.132	0.525	0.264	0.331	0.089	0.208	0.157	0.193	0.196	0.222	0.125
1	1	1	1	0.145	0.144	0.104	0.38	0.135	0.267	0.117	0.344	0.236	0.164	0.199	0.091	0.208	0.248	0.336	0.538
1	1	1	1	0.304	0.225	0.146	0.292	0.164	0.313	0.556	0.177	0.14	0.197	0.62	0.152	0.113	0.32	0.174	0.579
1	1	1	1	0.658	0.197	0.198	0.191	0.185	0.098	0.22	0.25	0.401	0.133	0.349	0.159	0.188	0.138	0.664	0.283
1	1	1	1	0.455	0.18	0.234	0.362	0.253	0.296	0.227	0.12	0.225	0.298	0.165	0.23	0.244	0.532	0.219	0.1
