X1	X2	X3	X4	X1.1	X2.1	X3.1	X4.1	X1.2	X2.2	X3.2	X4.2
2.04830059179244	0.0840223278540767	1.88361682919845	2.21298435438643	2.04583635696922	0.115030471052799	1.82037663370574	2.27129608023271	2.04583635696922	0.0840223278540767	1.87499393492482	2.20711515664888
2.09573214252862	0.0747473786055765	1.94922728046169	2.24223700459555	2.09355311445688	0.1036192883358	1.89045930931871	2.29664691959505	2.09355311445688	0.0747473786055765	1.95171749239989	2.23798698096946
1.96034703547863	0.0780816518412054	1.80730699786987	2.11338707308739	1.95920977393951	0.106110105858757	1.75123396645634	2.16718558142267	1.95920977393951	0.0780816518412054	1.78974964778588	2.1042680630587
2.11973956973389	0.082590865434617	1.95786147348204	2.28161766598574	2.1294459484845	0.112029707854348	1.90986772108998	2.34902417587902	2.1294459484845	0.082590865434617	1.97024279552298	2.28623597665898
1.9525146906651	0.0838106679723546	1.78824578143929	2.11678359989092	1.95369389619944	0.11615730883037	1.72602557089191	2.18136222150696	1.95369389619944	0.0838106679723546	1.78796392870811	2.109735639028
1.9475337807947	0.0744596945737793	1.8015927794301	2.09347478215931	1.95357993938955	0.104819698719241	1.74813332989983	2.15902654887926	1.95357993938955	0.0744596945737793	1.81157551875895	2.10284490127463
1.94456715662258	0.102203433978699	1.74424842602433	2.14488588722083	1.94569562498328	0.140731515361981	1.6698618548738	2.22152939509277	1.94569562498328	0.102203433978699	1.74818931117377	2.14259159107678
1.99497537122207	0.0786062565384354	1.84090710840674	2.1490436340374	2.00174894172199	0.107069993426885	1.79189175460529	2.21160612883868	2.00174894172199	0.0786062565384354	1.85320424604684	2.152975963916
2.07199258194865	0.07785025651998	1.91940607916949	2.22457908472781	2.07441978977334	0.108620575165541	1.86152346244888	2.2873161170978	2.07441978977334	0.07785025651998	1.92396391800071	2.22779556909338
1.93193712088205	0.0800157282148729	1.7751062935809	2.0887679481832	1.93625691782974	0.109641979559431	1.72135863789326	2.15115519776623	1.93625691782974	0.0800157282148729	1.77683759661275	2.1015111433741
2.0517552640644	0.080336463005611	1.89429579657341	2.2092147315554	2.05185565317158	0.110665463825696	1.83495134407321	2.26875996226994	2.05185565317158	0.080336463005611	1.89935456576082	2.20740921483164
